CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,mes,anho,dia,nombre_mes
301,Female,Lilly Harding,WANDEARAH EAST,SA,South Australia,5523,Australia,Australia,1939-07-03,7,1939,Monday,July
325,Female,Madison Hull,MOUNT BUDD,WA,Western Australia,6522,Australia,Australia,1979-09-27,9,1979,Thursday,September
554,Female,Claire Ferres,WINJALLOK,VIC,Victoria,3380,Australia,Australia,1947-05-26,5,1947,Monday,May
786,Male,Jai Poltpalingada,MIDDLE RIVER,SA,South Australia,5223,Australia,Australia,1957-09-17,9,1957,Tuesday,September
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,1965-11-19,11,1965,Friday,November
1086,Male,Hayden Clegg,TEMPLERS,SA,South Australia,5371,Australia,Australia,1954-01-20,1,1954,Wednesday,January
1133,Male,Nicholas Caffyn,JUBILEE POCKET,QLD,Queensland,4802,Australia,Australia,1969-11-22,11,1969,Saturday,November
1256,Male,Lincoln Jenks,KULLOGUM,QLD,Queensland,4660,Australia,Australia,1950-03-12,3,1950,Sunday,March
1314,Male,Isaac Israel,EDITH RIVER,NT,Northern Territory,852,Australia,Australia,1965-12-21,12,1965,Tuesday,December
1568,Male,Luke Virtue,KOTTA,VIC,Victoria,3565,Australia,Australia,1975-07-25,7,1975,Friday,July
1585,Female,Anna Hallstrom,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,1990-08-12,8,1990,Sunday,August
1626,Female,Mary Leach,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,1985-10-17,10,1985,Thursday,October
1642,Female,Ruby Ambrose,TARLO,NSW,New South Wales,2580,Australia,Australia,1965-03-03,3,1965,Wednesday,March
1677,Male,Dean Innes,ELLESMERE,QLD,Queensland,4610,Australia,Australia,1964-11-22,11,1964,Sunday,November
1817,Female,Laura Le Rennetel,BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,1986-07-10,7,1986,Thursday,July
1863,Female,Chelsea Watkins,NAMBOUR DC,QLD,Queensland,4560,Australia,Australia,1984-09-22,9,1984,Saturday,September
1945,Male,Angus Beaurepaire,GREENFIELDS,WA,Western Australia,6210,Australia,Australia,1974-09-20,9,1974,Friday,September
2238,Female,Isabelle Cochran,BRUCKNELL,VIC,Victoria,3268,Australia,Australia,1969-10-31,10,1969,Friday,October
2248,Male,Rory Spargo,JUNG,VIC,Victoria,3401,Australia,Australia,1987-12-15,12,1987,Tuesday,December
2435,Female,Lilian Hall,BLAKEBROOK,NSW,New South Wales,2480,Australia,Australia,1968-04-01,4,1968,Monday,April
2469,Female,Phoebe Kneeshaw,BIDWILL,QLD,Queensland,4650,Australia,Australia,1948-05-20,5,1948,Thursday,May
2512,Female,Matilda Hake,BUNKERS HILL,VIC,Victoria,3352,Australia,Australia,1992-11-13,11,1992,Friday,November
2604,Female,Claudia Davison,KUBIN VILLAGE,QLD,Queensland,4875,Australia,Australia,1995-04-08,4,1995,Saturday,April
2751,Male,Nate Lowes,CALLIDE,QLD,Queensland,4715,Australia,Australia,1979-08-20,8,1979,Monday,August
2792,Male,Zachary Perkin,BAMGANIE,VIC,Victoria,3333,Australia,Australia,1976-08-25,8,1976,Wednesday,August
2836,Male,Nicholas Shand,GORDONBROOK,QLD,Queensland,4610,Australia,Australia,1959-02-23,2,1959,Monday,February
3002,Male,Joshua Aronson,SMITHTON,TAS,Tasmania,7330,Australia,Australia,2000-11-08,11,2000,Wednesday,November
3006,Female,Alica Stuckey,HARTLEY,NSW,New South Wales,2790,Australia,Australia,1943-01-13,1,1943,Wednesday,January
3203,Male,Aidan Kane,ARGENTON,NSW,New South Wales,2284,Australia,Australia,1998-08-18,8,1998,Tuesday,August
3270,Male,Hunter Templeton,CENTRAL TILBA,NSW,New South Wales,2546,Australia,Australia,1948-05-02,5,1948,Sunday,May
3327,Female,Alannah Le Messurier,KONONGWOOTONG,VIC,Victoria,3315,Australia,Australia,1948-04-28,4,1948,Wednesday,April
3410,Male,Will Armitage,BOLLON,QLD,Queensland,4488,Australia,Australia,1950-05-12,5,1950,Friday,May
3575,Male,Noah McFarland,HOPPERS CROSSING,VIC,Victoria,3029,Australia,Australia,1942-03-04,3,1942,Wednesday,March
3964,Female,Rose Code,DIXIE,VIC,Victoria,3265,Australia,Australia,1944-02-16,2,1944,Wednesday,February
4004,Female,Piper Wrixon,WYALLA PLAZA,QLD,Queensland,4350,Australia,Australia,1995-06-24,6,1995,Saturday,June
4174,Female,Rebecca Yelverton,OCEAN REEF,WA,Western Australia,6027,Australia,Australia,1990-10-05,10,1990,Friday,October
4633,Female,Victoria Brown,KEYSLAND,QLD,Queensland,4612,Australia,Australia,1964-01-08,1,1964,Wednesday,January
4734,Male,Justin Felan,PARMELIA,WA,Western Australia,6167,Australia,Australia,1946-02-13,2,1946,Wednesday,February
4808,Male,Jamie Evenden,HAYWARDS BAY,NSW,New South Wales,2530,Australia,Australia,1944-06-28,6,1944,Wednesday,June
